speed_kmh,ambient_temp_c,soc_percent,road_slope_pct,hvac_power_kw,consumption_wh_per_km,remaining_range_km
58.2,16.9,13.9,-0.71,0.0,175.4,16.7
85.1,31.5,27.2,4.42,1.92,319.9,18.3
41.5,-6.0,69.8,2.21,4.5,306.7,32.7
67.9,-1.2,18.8,1.41,4.03,281.2,10.7
105.3,-8.0,97.5,1.3,4.5,336.0,41.5
37.4,4.6,88.2,1.97,2.78,264.7,62.1
105.9,7.5,66.4,-1.99,1.64,260.7,50.4
105.4,2.2,83.7,0.39,2.95,307.9,47.0
32.6,27.3,89.9,0.77,0.94,196.4,99.7
50.8,6.1,33.4,-0.8,2.19,207.1,30.2
80.4,2.6,86.4,0.93,3.21,276.1,54.9
36.5,14.4,27.5,2.46,0.0,196.8,29.1
54.4,-3.7,47.2,-0.84,4.01,241.8,29.4
37.4,26.1,60.2,-0.11,0.66,176.9,74.7
97.6,-6.6,74.3,-1.64,4.5,278.2,37.8
55.6,34.4,12.7,-3.57,2.26,169.5,14.9
93.1,24.8,36.1,1.56,0.4,274.9,28.2
103.3,-1.1,64.8,-0.05,3.67,304.0,36.3
34.1,-9.8,42.2,0.1,4.5,290.8,18.0
35.9,26.7,79.8,-1.97,1.16,162.1,104.9
106.5,21.8,68.6,-0.37,0.0,270.9,55.6
45.9,22.8,31.1,2.19,0.0,202.8,31.2
102.9,24.7,23.1,0.0,0.68,274.9,18.0
50.7,-6.7,66.6,0.06,4.5,265.5,35.2
43.0,6.1,50.5,0.42,1.93,217.8,41.9
21.4,-4.8,25.2,-2.47,4.5,320.7,11.7
30.9,28.8,39.4,1.25,1.12,209.7,39.0
36.0,18.0,37.3,-2.51,0.0,121.7,63.5
86.0,4.9,19.7,-1.88,2.57,234.5,15.3
64.7,-7.1,59.2,-2.1,4.5,233.7,38.8
44.9,4.0,78.7,-0.35,2.85,227.1,63.6
31.9,4.6,61.8,-0.7,1.98,207.2,55.8
86.7,22.8,84.4,-0.0,0.0,234.3,79.3
37.8,18.7,21.5,-1.81,0.0,134.0,33.8
90.4,29.9,49.2,2.01,1.24,285.4,37.4
49.0,11.2,64.8,1.67,0.5,208.9,65.0
56.5,-4.6,70.8,-0.35,4.5,258.0,42.7
41.7,22.1,72.6,-0.96,0.0,150.9,104.1
108.0,24.2,75.6,-1.16,0.3,265.4,62.2
52.9,15.3,68.6,-0.62,0.0,169.4,93.5
33.5,24.7,18.5,-2.8,0.38,126.5,32.2
68.5,12.2,72.6,-1.92,0.0,172.9,85.7
94.2,13.5,75.2,1.72,0.0,275.3,57.3
32.0,9.2,99.4,0.6,1.19,202.0,93.6
61.8,-8.9,72.4,3.27,4.5,313.1,34.2
66.9,-5.1,71.8,-0.6,4.39,255.8,44.2
41.6,-8.6,56.3,-0.72,4.5,262.5,29.9
100.3,18.6,88.1,-0.82,0.0,250.2,80.7
78.9,4.1,99.7,-0.64,2.46,241.2,75.8
50.6,12.9,80.1,-1.32,0.0,155.9,105.6
57.3,30.8,65.1,0.54,1.71,222.7,64.3
48.8,1.2,17.1,0.06,3.34,242.7,12.2
43.2,8.5,75.4,-1.02,1.28,181.3,82.7
60.0,24.0,73.8,2.5,0.0,226.1,67.3
101.5,0.3,79.8,3.79,3.54,350.0,37.3
91.6,-6.5,21.2,2.33,4.5,328.2,9.8
105.8,3.0,68.8,1.12,3.11,321.0,39.8
85.0,-2.7,36.6,1.52,4.5,306.8,19.6
82.5,31.8,78.4,3.71,2.2,308.6,57.7
114.3,26.4,31.6,1.52,0.76,324.4,21.3
37.5,18.5,71.6,-1.17,0.0,143.3,109.0
81.9,29.2,36.5,0.78,1.78,258.6,29.6
33.2,26.2,10.8,1.25,0.5,190.5,12.0
33.1,-1.6,67.0,-1.99,3.78,241.1,42.2
91.6,30.2,20.2,-0.57,1.56,252.6,17.0
53.7,14.3,69.3,2.2,0.0,212.9,65.0
13.4,26.3,93.3,-3.65,1.02,165.1,125.4
105.1,30.3,97.2,-2.5,1.83,253.3,83.4
20.3,4.3,31.2,-0.35,2.57,268.3,19.7
30.6,-5.0,82.8,0.71,4.5,312.2,39.7
96.3,0.3,41.8,-2.72,3.48,249.3,29.7
105.6,9.2,91.0,-0.25,1.39,283.8,62.7
28.3,26.8,80.9,2.31,0.89,218.8,77.1
42.7,28.7,16.7,0.14,1.55,204.6,16.6
22.5,-9.7,46.6,1.88,4.5,350.0,17.1
98.3,13.0,40.4,-1.18,0.0,240.5,35.6
100.1,8.8,80.7,-1.62,1.16,249.4,62.2
60.0,-0.0,46.9,1.7,3.9,279.0,27.7
58.9,-4.6,71.6,0.74,4.5,274.5,39.1
51.4,5.2,64.2,-2.37,2.09,181.8,64.5
115.7,32.4,97.8,-1.6,2.25,293.9,68.1
65.8,4.5,94.4,3.13,3.1,291.4,59.3
113.6,13.3,48.5,-1.85,0.0,265.7,36.6
25.2,21.6,75.1,1.87,0.0,178.2,88.6
102.0,6.4,84.7,-0.96,1.87,270.4,60.4
108.4,33.7,90.9,-0.01,2.21,301.2,64.4
86.0,33.3,16.1,0.59,2.33,268.8,12.9
39.8,1.3,37.2,-4.2,3.24,181.7,37.2
112.4,12.4,38.8,-2.93,0.0,246.5,32.5
85.2,3.5,49.1,0.17,2.67,265.3,33.0
53.4,2.8,25.2,-1.45,2.76,209.3,21.0
110.3,-8.3,54.7,1.99,4.5,350.0,21.5
107.0,17.4,69.7,-3.21,0.0,229.4,63.3
99.3,12.6,54.8,1.13,0.0,277.3,41.0
94.5,-7.7,69.9,-2.75,4.5,256.5,39.1
43.0,2.5,16.0,-0.7,3.04,226.9,12.5
29.0,30.9,88.8,-2.13,1.92,187.2,101.8
27.9,0.8,94.5,3.8,2.78,308.9,53.2
97.4,-3.5,65.6,-2.68,3.98,256.9,39.7
116.7,12.0,89.3,-0.24,0.0,297.2,61.0
86.0,34.4,21.8,-3.45,2.35,208.4,21.4
47.6,0.9,81.8,3.2,3.82,300.4,44.0
42.9,20.2,20.7,0.8,0.0,178.7,26.0
84.1,24.3,46.7,0.27,0.79,242.9,40.5
44.2,0.7,39.1,2.95,2.95,279.0,23.0
30.1,22.8,62.7,0.29,0.0,158.5,84.0
100.2,6.6,37.1,0.44,1.27,281.7,24.5
43.8,18.5,67.4,0.26,0.0,171.5,88.6
24.0,18.5,43.1,1.13,0.0,166.2,55.2
53.9,14.1,87.5,-0.98,0.0,165.4,121.1
31.4,-5.9,67.0,-0.43,4.5,291.9,33.9
111.8,27.6,29.4,1.62,0.95,321.7,20.8
56.0,4.4,40.3,0.55,2.91,243.3,30.7
53.1,-1.6,86.3,-0.23,3.36,238.9,58.9
42.4,-8.2,44.8,-2.8,4.5,230.1,28.6
89.5,16.6,58.2,3.0,0.0,284.8,45.4
53.4,20.5,68.4,-1.32,0.0,159.5,94.0
99.6,-9.3,41.3,1.97,4.5,335.7,18.0
34.6,13.0,36.5,0.35,0.0,163.3,45.9
32.5,0.2,52.8,-2.59,3.37,221.1,38.7
17.1,19.0,29.3,2.5,0.0,182.7,33.8
88.6,-2.2,35.6,0.51,3.91,289.8,20.6
99.0,21.1,15.6,2.67,0.0,299.8,11.7
55.6,7.4,37.4,-0.36,1.51,204.0,34.3
46.3,32.2,38.9,1.41,2.06,236.1,32.5
100.3,-3.8,96.6,-3.53,4.5,254.6,58.2
33.6,5.3,63.1,-1.0,1.8,195.8,57.4
91.3,-4.9,80.9,-2.55,4.5,254.5,47.2
35.7,31.6,14.1,-0.75,1.67,194.7,14.9
87.5,29.5,19.6,0.94,1.52,267.4,15.0
93.7,1.6,83.3,-1.21,3.2,264.5,57.2
90.8,19.7,66.1,1.73,0.0,268.3,51.9
107.1,26.8,27.2,-1.71,0.74,259.1,23.5
38.8,15.0,46.4,1.77,0.0,188.7,52.5
87.0,13.8,58.5,2.62,0.0,274.1,43.5
35.7,0.9,85.9,2.03,2.99,273.0,54.1
29.4,-5.8,15.4,-0.69,4.5,296.2,7.6
96.5,30.4,63.7,-4.25,1.62,207.4,65.5
99.5,30.5,74.5,1.16,1.39,292.2,54.9
83.6,18.5,98.0,-0.25,0.0,224.6,91.5
42.5,5.3,82.6,-1.96,2.07,185.4,77.9
101.4,5.7,34.9,-1.11,2.18,269.8,23.9
110.6,22.7,73.9,2.87,0.0,329.1,49.6
56.0,30.4,78.7,-2.27,1.83,181.5,90.5
47.2,29.9,75.7,0.94,1.66,220.7,74.1
44.0,25.1,83.8,0.44,0.84,193.4,97.4
13.2,18.9,91.3,-0.71,0.0,132.5,147.8
80.5,-6.2,18.9,1.29,4.5,297.7,9.3
96.1,-2.7,19.4,3.26,3.57,339.5,9.0
80.7,30.4,81.7,-0.59,1.62,234.1,73.3
98.6,17.3,32.7,-0.49,0.0,251.5,27.1
18.2,-9.6,15.3,1.24,4.5,350.0,5.7
76.5,-5.4,46.1,1.84,4.5,301.6,23.0
51.8,19.9,83.8,-0.26,0.0,173.5,106.2
89.5,-9.8,21.4,-0.61,4.5,281.0,10.5
47.0,-2.8,70.5,-4.44,3.92,188.2,58.4
107.7,14.7,10.3,-1.56,0.0,256.0,8.9
18.8,21.1,19.9,-2.28,0.0,111.8,38.6
20.9,19.3,41.6,1.37,0.0,167.8,53.4
93.3,0.1,17.5,-0.49,3.93,282.4,9.3
31.3,22.0,86.1,-0.57,0.0,146.6,123.2
89.0,0.7,87.8,-0.02,3.9,282.3,50.1
29.8,4.6,78.0,-1.74,2.29,204.4,70.6
94.4,23.6,31.8,3.11,0.0,296.4,23.1
39.2,19.2,57.1,2.6,0.0,201.5,58.9
42.1,28.2,26.6,3.24,1.47,249.1,23.1
55.7,19.6,35.3,1.37,0.0,203.0,35.8
27.8,15.6,56.4,-0.06,0.0,151.3,77.7
47.0,-5.8,76.2,3.23,4.5,315.5,35.0
41.8,6.5,18.5,-1.36,1.84,188.9,18.7
38.0,1.9,36.7,-1.74,2.51,201.4,32.8
52.6,1.0,93.4,-1.2,3.17,220.5,70.6
105.5,33.8,48.6,1.05,2.36,312.4,34.1
90.1,7.7,94.5,-1.52,2.09,241.3,75.1
39.8,30.1,99.2,-0.31,1.65,200.0,107.3
104.4,18.4,57.4,-3.2,0.0,223.7,55.1
94.8,25.8,35.9,0.96,1.18,277.5,27.7
49.0,12.6,81.2,-3.03,0.0,128.3,132.9
99.4,16.0,24.3,-1.86,0.0,232.6,23.0
64.0,12.2,32.7,2.43,0.0,231.1,28.3
23.6,-1.2,80.6,2.36,3.75,343.3,38.0
40.5,22.5,49.0,0.75,0.0,175.2,63.2
90.9,2.6,28.1,0.55,2.53,278.7,17.8
86.5,-8.9,68.6,-1.06,4.5,269.9,35.3
22.6,19.0,75.9,-1.55,0.0,125.2,135.0
46.2,-2.0,21.3,-0.72,3.81,241.9,13.9
95.3,32.3,34.9,-3.03,1.97,227.1,32.7
33.2,32.9,29.9,0.5,2.43,237.6,27.3
24.6,31.2,44.2,0.1,1.93,229.6,42.7
95.2,6.7,78.7,-1.87,1.82,242.5,56.7
89.0,-9.3,74.2,3.14,4.5,336.4,29.5
99.3,31.8,69.6,1.21,1.84,297.1,48.4
98.5,9.3,10.6,1.38,0.87,288.2,7.2
104.0,33.5,22.8,-0.97,2.04,275.8,17.0
45.2,33.4,30.1,-0.0,2.07,214.8,30.2
35.3,28.4,34.5,1.25,1.5,220.1,33.8
47.6,3.3,23.2,0.31,2.91,237.7,17.7
97.5,7.3,46.9,3.2,1.7,322.0,28.5
85.9,28.3,16.8,-0.41,1.61,245.4,15.0
23.8,4.3,77.5,-1.01,2.2,226.7,61.0
78.0,-2.4,80.9,1.27,4.13,289.9,44.5
37.4,15.1,61.7,-2.53,0.0,122.8,106.5
44.2,32.1,18.1,1.85,2.04,242.0,15.2
29.6,21.3,90.1,-2.6,0.0,114.6,173.9
47.2,15.7,96.9,1.28,0.0,190.7,109.0
106.5,-5.6,28.2,-1.3,4.5,299.4,13.4
40.3,17.7,73.4,0.95,0.0,178.0,90.1
91.3,34.6,85.8,1.81,2.5,298.1,60.0
96.9,-3.7,58.6,0.31,4.19,302.9,28.1
41.7,13.3,39.1,-2.4,0.0,129.3,60.8
86.0,29.5,53.1,-1.79,1.65,225.1,49.6
77.9,23.3,56.1,-1.46,0.0,195.9,62.0
63.0,21.4,46.1,-3.79,0.0,136.1,74.5
50.7,21.6,93.7,2.25,0.0,209.7,98.2
89.2,6.2,76.9,0.22,2.3,268.3,54.5
40.6,3.2,31.7,-2.27,2.93,202.2,27.7
35.5,26.4,62.7,2.91,0.9,227.9,62.2
57.2,26.5,72.0,-1.4,1.11,182.9,86.4
45.2,29.0,22.6,0.5,1.46,209.0,23.4
100.1,31.1,42.3,-1.65,1.85,255.8,35.9
36.4,13.0,91.5,-4.04,0.0,99.2,190.1
55.5,12.6,61.0,-2.73,0.0,141.2,89.4
61.2,25.9,29.5,-0.9,0.64,187.4,31.8
60.3,19.2,21.1,1.8,0.0,216.0,20.7
89.1,21.6,56.6,0.69,0.0,249.4,51.4
39.0,25.8,59.3,0.28,0.57,181.3,70.6
97.5,30.1,40.1,-4.02,0.98,206.1,42.0
45.6,5.2,66.7,2.54,2.19,255.8,49.3
42.0,6.9,16.2,0.45,1.82,215.6,14.3
96.6,-5.8,23.1,-0.24,4.5,297.5,11.2
42.6,16.0,59.2,2.26,0.0,200.3,63.6
119.4,-8.4,15.6,2.49,4.5,350.0,6.0
86.6,11.0,89.3,2.31,0.52,274.8,66.0
49.6,14.4,22.8,-0.49,0.0,167.1,28.3
50.2,2.9,70.7,-2.01,3.04,205.6,62.1
94.9,16.6,45.2,1.98,0.0,280.5,34.1
49.2,-8.6,46.0,-2.73,4.5,224.5,27.7
37.1,-8.3,78.8,3.89,4.5,340.2,32.3
41.1,27.0,55.0,0.06,1.25,195.9,61.0
43.1,6.2,75.3,-2.12,1.8,176.8,76.6
85.0,-4.3,55.5,-2.46,4.5,246.9,33.8
54.0,13.5,63.4,-2.56,0.0,141.8,94.2
49.7,24.6,78.5,0.28,0.5,188.9,92.9
101.2,-0.3,64.7,-0.01,3.53,299.2,33.1
68.5,18.0,65.4,-2.47,0.0,164.6,87.0
43.0,-6.2,81.0,-0.71,4.5,260.7,45.1
96.7,-7.7,95.4,-2.74,4.5,260.2,51.3
56.8,13.9,43.9,1.18,0.0,201.8,45.1
88.9,14.3,61.9,-0.11,0.0,237.0,55.0
96.1,18.7,17.8,-0.76,0.0,242.0,16.1
37.2,22.7,42.3,-2.58,0.0,121.9,73.4
36.6,33.9,47.1,-0.6,2.3,213.8,48.7
49.3,13.2,85.2,-0.83,0.0,161.7,112.3
23.3,4.5,56.2,0.64,2.6,269.9,38.0
96.4,25.8,75.8,0.33,0.37,262.9,61.7
107.6,2.2,11.7,1.58,2.47,325.7,6.5
49.5,9.8,51.8,-0.97,0.95,179.1,59.6
95.4,-6.5,91.1,-3.72,4.5,243.3,52.7
96.3,-8.9,30.2,1.98,4.5,330.3,12.4
80.0,33.3,12.8,-1.87,2.14,220.1,12.6
35.9,27.6,49.0,-2.21,0.97,153.1,70.8
44.9,21.3,73.4,-0.09,0.0,167.5,93.4
59.8,8.4,50.9,0.6,1.48,222.2,43.4
107.2,-2.2,51.4,-1.06,4.38,303.0,27.1
39.4,-3.0,70.3,-1.08,4.5,260.9,44.2
81.1,1.3,32.9,-0.78,3.05,249.5,22.5
22.2,14.7,77.7,2.83,0.0,190.6,83.9
53.6,22.2,23.8,-0.01,0.0,179.6,28.6
48.5,19.7,45.6,-1.94,0.0,144.1,69.6
93.4,2.6,69.0,-1.92,2.81,249.1,48.4
53.1,33.0,84.6,-0.5,2.03,209.8,88.6
120.0,23.2,81.2,0.48,0.0,316.4,56.6
36.8,14.9,75.0,0.97,0.0,174.7,92.0
68.2,17.5,42.3,0.25,0.0,205.0,44.4
39.0,8.9,21.0,-1.68,1.55,176.9,21.9
50.8,1.1,29.5,-0.85,3.49,232.1,22.4
42.1,6.0,87.8,1.47,1.97,234.5,69.0
19.8,24.1,87.2,-2.29,0.49,136.8,135.3
17.5,-9.4,95.6,-0.93,4.5,350.0,36.7
35.1,-4.8,16.8,1.19,4.5,304.8,8.5
108.1,-7.9,58.3,1.75,4.5,348.1,22.8
103.6,-8.2,68.4,-0.39,4.5,307.6,30.3
53.0,28.5,74.0,-0.82,1.32,191.5,82.9
104.2,21.7,67.9,-2.64,0.0,231.6,61.9
102.1,11.3,79.3,1.05,0.87,290.8,56.0
30.4,-5.6,42.4,2.64,4.5,341.8,18.1
77.7,12.1,26.1,5.13,0.0,294.3,19.2
87.2,11.3,28.4,0.77,0.59,253.7,23.2
39.9,-2.2,11.1,-0.1,3.98,261.6,6.9
58.1,9.5,41.5,-1.84,1.54,184.8,43.5
95.0,7.9,18.3,-3.76,1.45,209.9,17.9
25.8,17.7,38.9,0.35,0.0,155.9,53.0
42.2,18.6,66.5,4.7,0.0,236.3,59.2
37.2,-8.0,90.5,2.54,4.5,319.6,40.8
82.5,6.9,85.6,2.23,1.61,279.3,58.2
79.3,18.2,32.7,0.49,0.0,227.7,30.2
89.7,12.6,22.1,0.72,0.0,251.0,19.4
96.0,28.5,27.4,-4.85,1.04,191.3,31.7
19.4,19.6,97.4,1.53,0.0,169.3,123.7
29.7,-2.7,59.5,-1.16,4.02,271.7,37.1
43.4,-6.8,26.4,-1.4,4.5,249.8,15.7
59.1,18.9,85.7,-0.65,0.0,177.6,103.7
55.5,-8.8,45.6,-0.71,4.5,252.6,26.6
98.8,16.4,90.9,-1.44,0.0,237.7,83.9
99.8,32.3,33.5,0.03,1.8,279.9,25.9
45.2,15.9,45.4,-1.12,0.0,152.5,63.3
101.1,7.5,55.4,0.2,1.57,282.9,37.4
62.6,18.9,90.3,-2.97,0.0,147.9,129.7
39.7,10.6,88.2,-0.43,0.5,169.3,109.2
96.7,14.6,61.7,-2.19,0.0,221.8,56.5
15.4,32.4,30.0,-1.28,1.81,242.6,27.3
106.3,7.4,46.3,0.29,1.19,291.4,29.5
92.6,33.3,97.8,-3.21,2.5,225.0,91.8
29.2,30.7,64.7,-1.64,2.05,198.7,69.1
93.1,-1.2,80.3,1.14,3.89,305.9,42.1
51.5,-6.9,50.5,-2.83,4.5,221.9,33.5
24.3,-5.5,57.9,3.56,4.5,350.0,24.6
54.7,-9.2,48.6,2.41,4.5,299.5,21.8
35.6,-5.8,73.3,-0.99,4.2,262.2,41.6
95.9,20.7,86.6,-1.57,0.0,229.5,79.5
28.5,-6.8,55.7,0.4,4.5,316.6,25.0
80.5,4.4,53.3,-2.89,2.06,204.7,44.9
91.9,28.0,40.6,-4.0,1.03,195.9,44.0
51.4,-9.0,25.9,-0.92,4.5,250.6,14.5
86.7,26.7,94.5,-0.27,0.53,236.4,86.1
55.6,2.7,38.4,0.19,2.59,231.8,30.7
38.2,-4.7,82.1,-1.23,4.35,257.0,52.2
58.5,21.4,74.4,2.55,0.0,224.6,70.2
51.7,18.3,81.2,-2.99,0.0,132.3,128.6
6.7,29.5,94.3,-2.28,1.52,259.1,80.9
91.0,23.1,66.1,0.97,0.0,257.5,55.8
53.3,26.2,90.8,-2.32,0.84,160.2,126.0
43.8,2.7,25.1,-2.4,2.97,199.3,22.3
97.6,-2.0,66.4,0.25,4.36,305.0,34.7
88.4,23.8,79.5,-2.11,0.0,206.0,82.5
99.0,26.3,34.4,-0.27,0.92,265.0,28.3
40.9,34.6,76.7,-1.4,2.5,204.5,78.3
104.2,8.6,80.1,-1.72,1.25,257.3,62.7
100.5,6.7,84.8,-4.2,1.64,216.1,71.0
102.3,24.9,38.2,0.28,0.68,277.7,30.6
109.4,5.3,71.3,-2.49,2.04,264.5,46.8
54.3,31.9,37.4,-0.34,1.75,207.9,38.5
65.7,28.6,76.5,-1.02,1.38,202.9,80.3
46.5,9.3,51.7,-0.41,0.84,182.6,53.1
39.8,23.8,63.8,-0.3,0.0,158.7,81.1
80.0,24.0,47.4,0.39,0.0,227.3,43.4
59.4,-5.4,24.6,-1.46,4.45,240.9,15.3
95.7,30.6,26.0,2.49,1.89,309.7,17.7
89.6,12.7,17.0,-3.69,0.0,184.5,18.5
43.7,27.2,65.6,-0.45,0.89,181.1,81.1
52.0,4.4,86.4,1.67,1.91,239.3,62.9
89.7,30.3,11.9,0.95,1.72,273.6,9.5
90.2,7.5,16.0,-1.95,1.22,225.4,13.2
64.9,-9.5,51.2,-1.62,4.5,241.1,27.9
34.3,30.7,76.4,-2.01,1.64,175.3,91.7
38.8,-5.9,24.2,1.2,4.5,296.1,12.3
89.1,4.4,34.4,-1.48,1.53,234.0,25.5
74.4,32.8,30.9,0.51,2.5,252.8,26.1
101.5,32.8,45.9,0.53,1.89,291.7,32.4
31.8,15.8,30.2,4.74,0.0,226.5,28.0
52.4,18.4,41.7,0.63,0.0,187.4,48.4
51.2,10.2,75.6,-1.62,0.78,167.4,95.9
39.7,3.2,65.0,-2.92,2.22,175.3,63.8
52.1,4.8,17.3,-0.55,2.32,213.9,15.0
32.1,20.3,67.4,-0.24,0.0,152.2,94.3
36.1,23.9,52.9,-4.42,0.0,93.1,120.5
17.9,25.6,94.1,-1.43,0.96,177.5,117.6
26.1,25.5,36.0,0.59,0.37,174.1,43.4
108.7,-5.9,75.4,-1.06,4.5,307.1,35.0
61.7,12.2,75.8,1.94,0.0,220.2,71.9
42.8,-7.4,29.9,-3.12,4.5,224.9,19.9
110.1,14.7,91.3,1.35,0.0,305.3,65.5
71.4,9.9,54.2,1.83,1.02,248.2,41.5
39.1,29.9,71.1,1.91,1.95,241.0,62.3
95.6,5.8,23.1,-3.13,1.94,225.6,19.6
99.4,-4.7,33.2,0.63,4.25,312.6,16.8
86.7,-3.6,62.7,-1.34,4.37,264.6,37.0
55.7,24.3,38.7,-2.81,0.3,145.7,56.1
99.9,17.8,55.0,-0.83,0.0,249.2,49.8
50.5,-5.4,43.7,-1.81,4.5,237.6,27.3
105.0,-6.2,67.6,1.84,4.5,343.6,28.3
107.7,21.5,53.8,1.03,0.0,294.6,38.4
30.4,-6.7,10.4,-2.3,4.5,267.9,5.4
89.0,27.0,68.5,-1.45,1.03,228.7,69.8
43.8,21.8,48.0,-0.76,0.0,156.1,68.9
90.1,-6.3,40.8,-0.14,4.5,288.8,20.2
43.0,-6.2,18.5,2.01,4.5,301.5,9.5
41.8,34.4,29.8,1.38,2.15,237.6,26.8
73.0,6.8,30.1,0.1,2.24,241.4,23.9
93.2,6.7,94.2,-0.52,1.68,257.7,67.3
18.1,26.6,48.9,-3.55,0.65,128.0,80.9
46.0,32.6,13.8,2.58,2.3,259.0,11.3
37.5,34.4,22.5,-0.89,2.5,214.1,20.8
89.2,23.9,17.1,3.11,0.0,285.8,12.7
49.0,6.9,63.0,0.39,1.97,219.9,54.1
57.4,-6.2,26.8,4.05,4.5,324.0,12.6
23.9,25.0,54.9,1.21,0.64,194.3,59.6
35.3,15.1,43.3,-2.86,0.0,115.8,82.4
47.1,9.1,82.3,-1.23,1.33,181.2,83.5
51.2,30.8,38.8,-0.34,1.91,208.7,41.3
102.6,-5.0,51.2,-1.75,4.5,285.2,26.3
53.5,12.2,74.9,-0.75,0.0,168.2,92.1
41.3,-9.5,49.0,-2.73,4.5,232.7,29.0
31.3,11.1,81.4,0.01,0.57,173.5,95.6
79.9,-7.5,69.6,0.47,4.5,284.8,34.7
104.9,-4.7,46.9,-2.01,4.5,285.6,24.0
93.3,-4.7,55.4,3.88,4.5,350.0,23.3
45.1,19.2,97.0,0.13,0.0,171.0,125.7
26.1,23.6,69.5,-1.63,0.0,126.4,116.2
36.8,16.3,91.4,-3.26,0.0,111.2,176.2
52.5,33.3,26.1,0.12,2.47,227.0,23.2
46.2,6.9,53.5,-0.52,2.04,206.6,50.1
91.5,2.9,91.8,1.57,2.68,296.7,52.2
72.5,29.1,39.0,-0.29,1.28,221.6,38.9
93.1,0.1,97.1,-2.39,4.14,255.9,61.3
44.8,33.3,18.7,3.34,1.99,263.3,15.5
92.8,-9.5,91.2,0.87,4.5,308.0,40.3
31.0,33.6,50.1,-0.51,2.33,222.2,46.8
45.0,-8.1,16.6,0.33,4.5,273.9,9.0
95.7,30.1,89.2,0.95,1.5,282.5,67.7
39.8,13.7,32.7,-2.86,0.0,120.3,56.7
39.5,34.7,12.0,0.32,2.5,230.9,11.2
25.6,-6.7,22.2,-0.9,4.5,312.6,9.9
90.1,14.9,69.3,1.01,0.0,256.3,53.7
108.8,33.6,98.0,-1.48,2.43,282.0,75.9
44.8,13.5,20.0,-1.21,0.0,150.5,27.3
103.3,18.3,51.6,3.33,0.0,319.0,35.7
45.7,21.3,26.3,2.46,0.0,206.7,27.4
